Ch1(mV[1]),Ch2(mV[0.051]),Ch3(mV[0.06]),Ch4(mV[1]),Ch5(mV[1]),Ch6(mV[1]),Ch7(mV[1]),Ch8(mV[1]),Ch9(mV[1]),Ch10(mV[1]),Ch11(mV[1]),Ch12(mV[1]),Ch13(mV[1]),Ch14(mV[1]),Ch15(mV[1]),Ch16(mV[1]),Ch17(uE[0.4762]),Ch18(uE[0.4762]),Ch19(uE[0.4762]),Ch20(uE[0.4762]),08:55:39 ,28/03/2019 
9994.5,0.132,3.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143.508,148.884,0.000,42.858, 1.91780598958342E-02 ,
9994.5,0.132,3.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,159.613,163.627,0.000,0.000, 1.95307074652789E-02 ,
9994.5,0.132,3.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,174.365,179.051,43.334,42.858, 1.98806423611124E-02 ,
9994.5,0.132,4.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,191.799,195.823,-42.858,0.000, 2.02305772569442E-02 ,
9994.5,0.215,4.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.561,211.919,-42.858,0.000, 2.05837673611118E-02 ,
9994.5,0.215,4.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,223.324,228.681,0.000,0.000, 2.09337022569454E-02 ,
9994.5,0.215,5.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,237.410,245.453,-42.858,0.000, 2.12695312500006E-02 ,
9994.5,0.215,5.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,254.838,263.553,-42.858,0.000, 2.16194661458342E-02 ,
9994.5,0.298,5.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,270.263,276.967,0.000,-43.334, 2.19694010416678E-02 ,
9994.5,0.281,6.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,281.663,293.068,-42.858,0.000, 2.23225911458336E-02 ,
