Element,Node,Fx[N],My[N.m],Mz[N.m]
323,357,230.469,-7.87E+03,-0.234079
324,357,116.574,1.47E+04,-0.235176
324,354,116.574,1.86E+04,0.783716
325,362,1.89E+03,7.64E+03,-0.540951
325,363,1.89E+03,1.17E+03,0.496686
326,363,1.39E+03,-2.66E+04,0.496359
326,364,1.39E+03,-3.05E+04,0.0210378
327,364,1.04E+03,-4.78E+04,0.021024
327,365,1.04E+03,-5.05E+04,0.0652
328,365,805.445,-6.06E+04,0.0651479
328,354,805.445,-6.19E+04,0.0695485
329,362,340.52,2.19E+04,-6.20917
329,370,340.52,1.35E+04,3.9253
330,370,-69.8883,-8.39E+03,3.92288
330,371,-69.8883,-1.29E+04,-1.43622
331,371,-59.6968,-1.43E+04,-1.43615
331,372,-59.6968,-1.07E+04,3.76202
332,372,367.039,8.38E+03,3.7644
332,210,367.039,1.57E+04,-6.09664
349,234,148.686,2.67E+04,0.108341
349,387,148.686,1.77E+04,-0.0287332
350,387,174.198,-2.07E+04,-0.0285617
350,388,174.198,-2.39E+04,-0.0614877
351,388,166.374,-2.22E+04,-0.0614925
351,389,166.374,-1.83E+04,-0.0232608
352,389,73.4759,2.42E+04,-0.0234306
352,386,73.4759,3.40E+04,0.110702
353,354,652.372,-5.69E+04,0.043272
353,394,652.372,-5.36E+04,0.089281
354,394,556.557,-3.30E+04,0.0893329
354,395,556.557,-2.81E+04,-0.03455
355,395,489.5,596.725,-0.0345853
355,396,489.5,6.95E+03,0.963619
356,396,444.613,4.74E+04,0.964218
356,386,444.613,5.65E+04,-2.09894
373,258,162.59,1.39E+04,0.0108337
373,411,162.59,1.01E+04,-2.80E-03
374,411,168.631,-1.08E+04,-2.79E-03
374,412,168.631,-1.32E+04,-8.60E-03
375,412,176.433,-1.01E+04,-8.61E-03
375,413,176.433,-6.81E+03,6.77E-03
376,413,189.335,1.88E+04,6.74E-03
376,410,189.335,2.31E+04,0.0152677
377,386,430.773,5.74E+04,-2.19767
377,418,430.773,4.94E+04,0.98952
378,418,408.375,1.40E+04,0.988858
378,419,408.375,8.62E+03,-0.0239837
379,419,393.292,-1.53E+04,-0.0239714
379,420,393.292,-1.93E+04,0.0954228
380,420,378.479,-3.54E+04,0.0953203
380,410,378.479,-3.78E+04,0.149906
397,282,146.335,2.59E+04,-0.08228
397,435,146.335,1.72E+04,5.47E-03
398,435,172.167,-2.00E+04,5.29E-03
398,436,172.167,-2.31E+04,0.153203
399,436,151.255,-2.00E+04,0.153442
399,437,151.255,-1.58E+04,-0.309261
400,437,-13.3106,2.94E+04,-0.30943
400,434,-13.3106,3.98E+04,0.377552
401,410,363.12,-3.71E+04,0.0381512
401,442,363.12,-3.45E+04,0.181626
402,442,344.286,-1.70E+04,0.181701
402,443,344.286,-1.26E+04,-0.0772727
403,443,315.748,1.29E+04,-0.0773743
403,444,315.748,1.87E+04,1.91004
404,444,277.303,5.62E+04,1.91119
404,434,277.303,6.48E+04,-4.13226
421,306,113.134,1.31E+04,-0.725864
421,459,113.134,9.70E+03,0.24922
