Element,Node,Fx[N],My[N.m],Mz[N.m]
230,266,1.74E+02,4.65E+03,2.37E-13
230,267,1.74E+02,2.74E+03,-1.42E-14
231,267,1.69E+02,-5.71E+03,-1.42E-14
231,268,1.69E+02,-7.14E+03,2.07E-14
232,268,1.67E+02,-1.28E+04,2.07E-14
232,258,1.67E+02,-1.36E+04,1.38E-14
249,114,3.53E+01,1.36E+04,-0.0985273
249,283,3.53E+01,9.60E+03,0.0402349
250,283,6.92E+01,-7.53E+03,0.0401201
250,284,6.92E+01,-9.07E+03,0.0143264
251,284,7.26E+01,-9.73E+03,0.0143267
251,285,7.26E+01,-8.41E+03,0.034796
252,285,6.33E+01,7.04E+03,0.0348908
252,282,6.33E+01,1.07E+04,-0.079691
253,258,1.67E+02,-1.36E+04,-3.23E-15
253,290,1.67E+02,-1.28E+04,7.23E-15
254,290,1.69E+02,-7.14E+03,6.96E-15
254,291,1.69E+02,-5.71E+03,9.58E-16
255,291,1.74E+02,2.74E+03,1.25E-15
255,292,1.74E+02,4.65E+03,6.74E-15
256,292,1.83E+02,1.73E+04,6.73E-15
256,282,1.83E+02,2.03E+04,-1.09E-14
273,146,4.85E+01,7.37E+03,-0.334404
273,307,4.85E+01,5.82E+03,0.100555
274,307,9.49E+01,-3.22E+03,0.100089
274,308,9.49E+01,-4.36E+03,0.122461
275,308,9.29E+01,-5.07E+03,0.122454
275,309,9.29E+01,-4.14E+03,0.0979359
276,309,4.42E+01,3.88E+03,0.0983683
276,306,4.42E+01,5.34E+03,-0.307176
277,282,1.70E+02,1.98E+04,-9.66E-15
277,314,1.70E+02,1.64E+04,5.02E-15
278,314,1.89E+02,1.86E+03,5.26E-15
278,315,188.803,-3.91E+02,1.84E-15
279,315,2.14E+02,-1.06E+04,1.97E-15
279,316,2.14E+02,-1.24E+04,-9.09E-16
280,316,2.52E+02,-1.96E+04,-9.13E-16
280,306,2.52E+02,-2.08E+04,7.21E-15
297,178,1.45E+02,8.69E+03,-2.57245
297,331,1.45E+02,5.35E+03,1.61752
298,331,-2.71E+01,-3.41E+03,1.61652
298,332,-2.71E+01,-5.23E+03,-0.589776
299,332,-2.39E+01,-5.76E+03,-0.589749
299,333,-2.39E+01,-4.32E+03,1.54992
300,333,1.52E+02,3.31E+03,1.5509
300,330,1.52E+02,6.24E+03,-2.51323
301,306,3.11E+02,-2.25E+04,-1.18E-15
301,338,3.11E+02,-2.21E+04,3.27E-15
302,338,4.03E+02,-1.84E+04,3.27E-15
302,339,4.03E+02,-1.74E+04,2.65E-16
303,3.39E+02,5.37E+02,-1.10E+04,4.58E-17
303,3.40E+02,5.37E+02,-9.61E+03,1.25E-14
304,3.40E+02,7.32E+02,685.431,1.25E-14
304,3.30E+02,7.32E+02,3.11E+03,-1.45E-14
321,202,4.42E+01,5.34E+03,0.307176
321,355,4.42E+01,3.88E+03,-0.0983683
