Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
201,235,81.9778,0.272666,2.18E+04,-0.0798921
202,235,158.664,0.0239979,-1.67E+04,-0.0796449
202,236,158.664,0.0239979,-2.01E+04,-0.0377126
203,236,166.355,-0.105571,-2.16E+04,-0.0377134
203,237,166.355,-0.105571,-1.87E+04,-0.0675735
204,237,145.438,-0.136461,1.60E+04,-0.0677751
204,234,145.438,-0.136461,2.42E+04,0.162315
205,202,568.622,-4.55E-12,-4.73E+04,8.91E-15
205,242,568.622,-4.55E-12,-4.47E+04,8.22E-14
206,242,484.943,-4.76E-12,-2.80E+04,8.23E-14
206,243,484.943,-4.76E-12,-2.39E+04,-2.38E-15
207,243,428.139,-3.54E-12,-598.999,-1.77E-15
207,244,428.139,-3.54E-12,4.53E+03,5.58E-13
208,244,387.347,-4.23E-12,3.78E+04,5.59E-13
208,234,387.347,-4.23E-12,4.54E+04,-1.22E-12
225,82,162.48,3.78E-13,1.92E+04,2.79E-13
225,259,162.48,3.78E-13,1.54E+04,-4.24E-14
226,259,166.617,-2.75E-12,-7.16E+03,-4.36E-14
226,260,166.617,-2.75E-12,-9.99E+03,-8.05E-14
227,260,163.299,1.46E-12,-1.21E+04,-8.05E-14
227,261,163.299,1.46E-12,-9.90E+03,-7.58E-14
228,261,153.044,2.40E-12,9.36E+03,-7.61E-14
228,258,153.044,2.40E-12,1.28E+04,2.50E-13
229,234,405.027,-3.71E-12,4.65E+04,-1.15E-12
229,266,405.027,-3.71E-12,3.97E+04,5.50E-13
230,266,387.579,-2.84E-12,1.08E+04,5.50E-13
230,267,387.579,-2.84E-12,6.44E+03,-3.29E-14
231,267,377.064,-2.43E-12,-1.29E+04,-3.23E-14
231,268,377.064,-2.43E-12,-1.62E+04,4.71E-14
232,268,372.098,-1.36E-12,-2.92E+04,4.71E-14
232,258,372.098,-1.36E-12,-3.10E+04,3.37E-14
249,114,81.9778,-0.272666,3.07E+04,-0.204963
249,283,81.9778,-0.272666,2.18E+04,0.0798921
250,283,158.664,-0.0239979,-1.67E+04,0.0796449
250,284,158.664,-0.0239979,-2.01E+04,0.0377126
251,284,166.355,0.105571,-2.16E+04,0.0377134
251,285,166.355,0.105571,-1.87E+04,0.0675735
252,285,145.438,0.136461,1.60E+04,0.0677751
252,282,145.438,0.136461,2.42E+04,-0.162315
253,258,372.098,3.86E-13,-3.10E+04,-4.30E-15
253,290,372.098,3.86E-13,-2.92E+04,1.54E-14
254,290,377.064,-1.02E-12,-1.62E+04,1.49E-14
254,291,377.064,-1.02E-12,-1.29E+04,2.61E-15
255,291,387.579,-2.37E-13,6.44E+03,2.65E-15
255,292,387.579,-2.37E-13,1.08E+04,1.77E-14
256,292,405.027,2.36E-12,3.97E+04,1.77E-14
256,282,405.027,2.36E-12,4.65E+04,-3.01E-14
273,146,111.444,0.560012,1.67E+04,-0.752817
273,307,111.444,0.560012,1.32E+04,0.227971
274,307,216.351,0.804972,-6.85E+03,0.226921
274,308,216.351,0.804972,-9.36E+03,0.276366
275,308,211.532,-0.689651,-1.10E+04,0.276351
275,309,211.532,-0.689651,-8.95E+03,0.220871
276,309,101.311,-0.642588,8.81E+03,0.221846
276,306,101.311,-0.642588,1.20E+04,-0.691682
277,282,387.347,3.67E-13,4.54E+04,-2.73E-14
277,314,387.347,3.67E-13,3.78E+04,1.43E-14
278,314,428.139,1.63E-12,4.53E+03,1.36E-14
278,315,428.139,1.63E-12,-598.999,4.50E-15
279,315,484.943,1.61E-12,-2.39E+04,4.39E-15
279,316,484.943,1.61E-12,-2.80E+04,-1.99E-15
280,316,568.622,2.65E-12,-4.47E+04,-2.00E-15
280,306,568.622,2.65E-12,-4.73E+04,1.70E-14
297,178,327.034,0.891389,2.07E+04,-5.8024
297,331,327.034,0.891389,1.27E+04,3.65354
298,331,-61.1451,-0.287011,-7.87E+03,3.65127
298,332,-61.1451,-0.287011,-1.21E+04,-1.33174
299,332,-53.3285,-0.588537,-1.33E+04,-1.33168
299,333,-53.3285,-0.588537,-9.99E+03,3.50061
300,333,344.601,-1.25812,7.95E+03,3.50283
300,330,344.601,-1.25812,1.50E+04,-5.67529
301,306,702.779,2.90E-12,-5.12E+04,-2.18E-15
301,338,702.779,2.90E-12,-5.02E+04,5.48E-15
302,338,909.824,1.33E-12,-4.18E+04,5.47E-15
302,339,909.824,1.33E-12,-3.95E+04,1.06E-14
303,339,1.21E+03,2.41E-12,-2.51E+04,1.03E-14
303,340,1.21E+03,2.41E-12,-2.19E+04,-1.47E-14
304,340,1.65E+03,3.18E-12,1.41E+03,-1.48E-14
304,330,1.65E+03,3.18E-12,6.94E+03,1.75E-13
321,202,101.311,-0.642588,1.20E+04,0.691682
321,355,101.311,-0.642588,8.81E+03,-0.221846
322,355,211.532,-0.689651,-8.95E+03,-0.220871
322,356,211.532,-0.689651,-1.10E+04,-0.276351
323,356,216.351,0.804972,-9.36E+03,-0.276366
323,357,216.351,0.804972,-6.85E+03,-0.226921
324,357,111.444,0.560012,1.32E+04,-0.227971
324,354,111.444,0.560012,1.67E+04,0.752817
325,362,1.76E+03,0.0420394,7.24E+03,-0.434617
325,363,1.76E+03,0.0420394,1.30E+03,0.410625
326,363,1.29E+03,1.07246,-2.40E+04,0.410356
326,364,1.29E+03,1.07246,-2.76E+04,0.0212939
327,364,965.943,-8.50E-03,-4.33E+04,0.0212802
327,365,965.943,-8.50E-03,-4.58E+04,0.0595393
328,365,745.551,0.288039,-5.52E+04,0.0595033
328,354,745.551,0.288039,-5.64E+04,0.0466297
329,362,327.034,0.891389,2.07E+04,-5.8024
329,370,327.034,0.891389,1.27E+04,3.65354
330,370,-61.1451,-0.287011,-7.87E+03,3.65127
330,371,-61.1451,-0.287011,-1.21E+04,-1.33174
331,371,-53.3285,-0.588537,-1.33E+04,-1.33168
331,372,-53.3285,-0.588537,-9.99E+03,3.50061
332,372,344.601,-1.25812,7.95E+03,3.50283
332,210,344.601,-1.25812,1.50E+04,-5.67529
349,234,145.438,0.136461,2.42E+04,0.162315
349,387,145.438,0.136461,1.60E+04,-0.0677751
350,387,166.355,0.105571,-1.87E+04,-0.0675735
350,388,166.355,0.105571,-2.16E+04,-0.0377134
351,388,158.664,-0.0239979,-2.01E+04,-0.0377126
